epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.0635,1.42954,4.13883,1.80889,0.00673,0.93564,0.03179,0.01317,1.63946,3.28987,2.05774,4.614e-05,4.614e-05,4.614e-05
2,12.1306,1.25516,3.98142,1.70032,0.00554,0.80377,0.05237,0.02343,1.41561,3.28639,1.987,9.95901e-05,9.95901e-05,9.95901e-05
3,14.9046,1.35513,3.98657,1.78442,0.00567,0.79435,0.08631,0.03367,1.50675,3.27753,2.09676,0.000152631,0.000152631,0.000152631
4,17.5957,1.47409,3.87038,1.859,0.00586,0.71782,0.10987,0.06099,1.5692,3.26429,2.05075,0.000205263,0.000205263,0.000205263
5,20.6011,1.41399,3.3656,1.78816,0.00628,0.71102,0.0741,0.03414,1.82247,3.21966,2.15744,0.000257486,0.000257486,0.000257486
6,24.6726,1.10139,3.5718,1.59568,0.00516,0.54867,0.06255,0.02723,1.98456,3.2118,2.13672,0.000309299,0.000309299,0.000309299
7,27.8876,1.17949,2.92335,1.5823,0.00448,0.54356,0.06131,0.01591,1.78822,3.22667,2.04427,0.000360704,0.000360704,0.000360704
8,30.2994,1.15632,2.89806,1.76541,0.8959,0.01099,0.04995,0.01885,1.68555,3.1778,2.07696,0.0004117,0.0004117,0.0004117
9,32.7537,1.28674,2.76146,1.69431,0.80867,0.09341,0.06951,0.02916,1.77559,3.09965,2.29125,0.000462286,0.000462286,0.000462286
10,35.1472,1.2385,2.6574,1.65026,0.78695,0.06023,0.06274,0.02752,1.81359,3.07216,2.30273,0.000512463,0.000512463,0.000512463
11,37.9464,1.38345,2.96569,1.74364,0.80056,0.07487,0.07413,0.03866,1.65345,3.02723,2.13476,0.000562231,0.000562231,0.000562231
12,41.8013,1.23336,2.79976,1.66764,0.80488,0.0696,0.08225,0.03815,1.79114,4.51021,2.58385,0.00061159,0.00061159,0.00061159
13,44.954,1.2776,2.84118,1.74094,0.79749,0.04762,0.08634,0.02928,1.88853,4.11962,2.65859,0.00066054,0.00066054,0.00066054
14,47.4332,1.25323,2.6877,1.63598,0.80072,0.04762,0.07187,0.02821,1.80765,4.34003,2.54061,0.000709081,0.000709081,0.000709081
15,49.9097,1.20829,2.55695,1.61038,0.78262,0.04762,0.07821,0.04175,1.94312,4.00008,2.72131,0.000728089,0.000728089,0.000728089
16,52.3304,1.28115,2.69074,1.63592,0.78643,0.08242,0.0764,0.03986,1.96871,3.75658,2.63369,0.000725167,0.000725167,0.000725167
17,55.1496,1.18817,2.45033,1.65303,0.80108,0.163,0.11407,0.05586,1.79993,3.72891,2.46194,0.000722245,0.000722245,0.000722245
18,59.0217,1.55413,2.9373,1.94921,0.81554,0.11588,0.07455,0.0237,2.1974,3.60625,2.85507,0.000719323,0.000719323,0.000719323
19,62.5423,1.19344,2.43883,1.64688,0.80943,0.05633,0.06528,0.02358,2.35943,3.75399,2.88994,0.0007164,0.0007164,0.0007164
20,65.0837,1.01676,2.39995,1.47962,0.81293,0.08242,0.0818,0.03744,1.89716,4.74226,2.41038,0.000713478,0.000713478,0.000713478
21,67.5232,1.11958,2.50672,1.61855,0.79908,0.09341,0.09196,0.04252,1.74093,5.02312,2.2706,0.000710556,0.000710556,0.000710556
22,69.9457,0.98104,3.24199,1.38069,0.80805,0.09158,0.1272,0.07308,1.59765,3.9928,2.12023,0.000707634,0.000707634,0.000707634
23,73.6309,1.17142,2.34986,1.63724,0.76852,0.15018,0.11002,0.07357,1.65114,3.33857,2.17649,0.000704712,0.000704712,0.000704712
24,78.1639,1.09078,2.16178,1.49453,0.82773,0.06846,0.12238,0.08158,1.77342,3.41536,2.3425,0.000701789,0.000701789,0.000701789
25,81.3174,1.10257,2.54061,1.47097,0.80964,0.05861,0.11245,0.06058,1.93755,3.39575,2.47455,0.000698867,0.000698867,0.000698867
26,83.7002,0.85526,3.15443,1.25041,0.79263,0.08242,0.13177,0.05074,1.93618,3.28484,2.52913,0.000695945,0.000695945,0.000695945
27,86.3254,1.13451,2.34177,1.55152,0.78604,0.09116,0.08824,0.04416,2.10396,3.2557,2.65111,0.000693023,0.000693023,0.000693023
28,88.7939,1.11382,2.09374,1.47964,0.62462,0.14141,0.10183,0.03972,2.22471,3.58402,2.84849,0.000690101,0.000690101,0.000690101
29,91.6991,1.20971,2.16661,1.77229,0.7873,0.05861,0.10481,0.04506,2.13463,3.52409,2.70035,0.000687178,0.000687178,0.000687178
30,95.5432,1.13205,2.29109,1.52538,0.78497,0.15201,0.12541,0.0651,2.04795,3.28017,2.58487,0.000684256,0.000684256,0.000684256
31,99.4279,1.03203,2.02745,1.49069,0.74953,0.13067,0.09538,0.04256,2.10555,3.29788,2.58026,0.000681334,0.000681334,0.000681334
32,101.996,1.02987,1.91986,1.47408,0.46623,0.23096,0.04054,0.0187,2.25681,3.6555,2.60893,0.000678412,0.000678412,0.000678412
33,104.381,0.94227,1.92373,1.4393,0.74465,0.05194,0.04923,0.01653,2.46287,3.6586,2.72706,0.00067549,0.00067549,0.00067549
34,106.905,1.00565,1.88404,1.42269,0.79589,0.04394,0.05227,0.01721,2.88059,3.43567,3.02944,0.000672567,0.000672567,0.000672567
35,109.511,1.13933,2.03991,1.69956,0.79519,0.1044,0.09854,0.04585,2.39863,3.07068,2.7347,0.000669645,0.000669645,0.000669645
36,113.016,1.11273,2.13397,1.59393,0.78629,0.09158,0.10488,0.05389,2.19388,3.06855,2.6282,0.000666723,0.000666723,0.000666723
37,116.857,0.98525,2.06945,1.44078,0.77735,0.06777,0.09718,0.04973,2.23313,3.17872,2.69414,0.000663801,0.000663801,0.000663801
38,119.48,0.97122,1.77833,1.44006,0.78173,0.10044,0.11707,0.07303,2.28498,3.18268,2.60003,0.000660879,0.000660879,0.000660879
39,121.905,0.98584,2.32357,1.49309,0.87013,0.0696,0.10773,0.05322,2.09338,3.30449,2.50111,0.000657956,0.000657956,0.000657956
40,124.335,1.16268,2.0003,1.63831,0.88317,0.0696,0.12194,0.06627,1.88651,3.14845,2.45014,0.000655034,0.000655034,0.000655034
41,126.787,0.92918,1.91022,1.37273,0.82406,0.11538,0.19649,0.09068,1.93061,3.08507,2.51977,0.000652112,0.000652112,0.000652112
42,130.175,1.07249,1.84621,1.55204,0.80458,0.17399,0.21017,0.09245,2.1662,2.99858,2.64835,0.00064919,0.00064919,0.00064919
43,134.199,1.0051,1.6949,1.41479,0.81151,0.15542,0.18936,0.0728,2.131,3.16411,2.56907,0.000646268,0.000646268,0.000646268
44,137.155,0.98749,1.88895,1.45667,0.79022,0.13919,0.14717,0.05228,2.03832,3.33105,2.50607,0.000643345,0.000643345,0.000643345
45,139.745,1.19854,1.85988,1.63488,0.8026,0.13736,0.13153,0.0492,1.93816,3.48343,2.44547,0.000640423,0.000640423,0.000640423
46,142.137,1.00485,1.85724,1.41603,0.80812,0.07875,0.10466,0.04292,1.79759,3.44839,2.36096,0.000637501,0.000637501,0.000637501
47,144.55,0.98001,1.67173,1.36502,0.81663,0.11757,0.07887,0.03604,1.63947,3.90582,2.27751,0.000634579,0.000634579,0.000634579
48,147.584,0.99113,1.81963,1.44379,0.8953,0.06593,0.0579,0.02782,1.69552,3.86644,2.3187,0.000631657,0.000631657,0.000631657
49,151.301,1.02197,1.81484,1.44653,0.79506,0.08756,0.06087,0.03227,1.66946,3.6166,2.25959,0.000628734,0.000628734,0.000628734
50,154.369,1.15834,1.85933,1.5013,0.79129,0.08059,0.07874,0.04754,1.83143,3.57232,2.36441,0.000625812,0.000625812,0.000625812
51,156.95,1.13365,1.87216,1.52679,0.78596,0.05861,0.09667,0.05686,1.93232,3.65259,2.47756,0.00062289,0.00062289,0.00062289
52,159.428,1.02708,1.67024,1.41228,0.77625,0.08059,0.10179,0.06264,1.85647,3.3989,2.4078,0.000619968,0.000619968,0.000619968
53,161.925,1.21459,2.08696,1.55962,0.75097,0.10256,0.09754,0.05515,1.85024,3.35132,2.37097,0.000617046,0.000617046,0.000617046
54,165.021,0.9648,1.62362,1.4733,0.62661,0.12454,0.11219,0.06277,1.91153,3.24221,2.46538,0.000614123,0.000614123,0.000614123
55,169.076,0.92133,1.63127,1.3385,0.62646,0.13236,0.13743,0.06935,1.93183,3.28759,2.59025,0.000611201,0.000611201,0.000611201
56,172.765,0.89534,1.747,1.35515,0.84682,0.08059,0.16364,0.07942,1.82174,3.29447,2.57486,0.000608279,0.000608279,0.000608279
57,175.319,0.85877,1.39301,1.28131,0.59811,0.13919,0.16221,0.08559,1.83288,3.35749,2.57486,0.000605357,0.000605357,0.000605357
58,177.912,0.82637,1.58093,1.28753,0.58882,0.13011,0.15473,0.10428,1.80234,3.40806,2.46462,0.000602435,0.000602435,0.000602435
59,180.57,0.90601,1.70152,1.39903,0.54986,0.11722,0.145,0.08783,1.87349,3.40331,2.2835,0.000599512,0.000599512,0.000599512
60,183.747,0.90614,1.35388,1.41919,0.63637,0.24127,0.16337,0.10719,1.80318,3.43074,2.33185,0.00059659,0.00059659,0.00059659
61,188.283,0.95421,1.75428,1.41738,0.64511,0.24855,0.16667,0.10897,1.81111,3.46097,2.37527,0.000593668,0.000593668,0.000593668
62,191.637,0.94515,1.60484,1.40254,0.58517,0.24642,0.14951,0.10148,1.94248,3.45628,2.53366,0.000590746,0.000590746,0.000590746
63,194.095,0.93097,1.5721,1.34056,0.56955,0.21062,0.14707,0.0937,1.90278,3.6523,2.53213,0.000587824,0.000587824,0.000587824
64,196.83,1.05016,1.51079,1.49236,0.54936,0.19963,0.14204,0.09043,1.78133,3.55655,2.41729,0.000584901,0.000584901,0.000584901
65,199.396,0.78644,1.43641,1.28907,0.54436,0.21062,0.11285,0.06863,1.79295,3.47236,2.40387,0.000581979,0.000581979,0.000581979
66,202.821,0.75705,1.56968,1.25018,0.51463,0.163,0.15102,0.07159,1.81769,3.39704,2.36769,0.000579057,0.000579057,0.000579057
67,207.173,0.99515,1.47908,1.36166,0.51009,0.15201,0.1433,0.06804,1.83016,3.24259,2.40993,0.000576135,0.000576135,0.000576135
68,210.732,0.94035,1.5373,1.37173,0.52503,0.18612,0.11494,0.06304,1.82151,3.32889,2.40681,0.000573213,0.000573213,0.000573213
69,213.313,0.98651,1.47563,1.60987,0.51877,0.19529,0.13446,0.06457,1.77043,3.28411,2.31837,0.00057029,0.00057029,0.00057029
70,215.913,0.87359,1.51386,1.36206,0.55089,0.22161,0.15392,0.07296,1.9794,3.08931,2.4479,0.000567368,0.000567368,0.000567368
71,218.401,0.91591,2.21084,1.3219,0.49172,0.25824,0.22113,0.10692,2.05208,3.0525,2.5231,0.000564446,0.000564446,0.000564446
72,221.953,1.13718,1.79393,1.57975,0.71117,0.17791,0.23113,0.13112,2.02195,3.27786,2.45239,0.000561524,0.000561524,0.000561524
73,226.301,0.89355,1.57475,1.39108,0.737,0.17766,0.23899,0.13609,1.96246,3.25717,2.40205,0.000558602,0.000558602,0.000558602
